subject,post,latitude,longitude,sentiment,score,area
Infrastructure Work,"Avoid Main during rush hour, construction is causing major delays.",33.804575,-84.507344,Negative,0.9989157915115356,Other Areas
Traffic Update,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.657633,-84.404109,Neutral,0.9999616146087646,Other Areas
Street Fair,Heard about a new Elm opening on Highland. Definitely worth checking out!,33.815418,-84.412956,Neutral,0.9996614456176758,Other Areas
Park Renovation,Don't miss the Peachtree happening this weekend at Maple. Always a good time!,33.833303,-84.498663,Positive,0.9251790642738342,Other Areas
Street Fair,Don't miss the Broadway happening this weekend at Maple. Always a good time!,33.821015,-84.416252,Positive,0.9619534015655518,Other Areas
Park Renovation,Excited about the new renovations at Highland. It's going to be great for the community!,33.865128,-84.455923,Positive,0.9999997615814208,Other Areas
Community Meeting,Heard about a new Broadway opening on Main. Definitely worth checking out!,33.805413,-84.37473,Neutral,0.999524474,Other Areas
Local Event,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.764675,-84.406327,Neutral,0.999975562,Other Areas
Infrastructure Work,Watch out for a giant pothole on Main Street. Be careful driving!,33.691166,-84.348016,Neutral,0.9950763583183287,Other Areas
New Restaurant Opening,Don't miss the Broadway happening this weekend at Maple. Always a good time!,33.826732,-84.435643,Positive,0.9619534015655518,Other Areas
Park Renovation,Public transport update: Elm line will have altered schedules this week.,33.715433,-84.399811,Neutral,0.9999988079071044,Other Areas
Public Transport Notice,Community meeting at Main this Thursday to discuss the new Maple development.,33.836137,-84.379081,Neutral,0.9999990463256836,Other Areas
Local Event,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.792157,-84.465269,Neutral,0.9999657869338988,Other Areas
Local Event,Excited about the new renovations at Maple. It's going to be great for the community!,33.842223,-84.359031,Positive,0.9999997615814208,Other Areas
Traffic Update,Heard about a new River opening on North. Definitely worth checking out!,33.825008,-84.388445,Neutral,0.99901998,Other Areas
Traffic Update,Don't miss the Peachtree happening this weekend at Broadway. Always a good time!,33.717435,-84.488374,Positive,0.9116454720497132,Other Areas
Park Renovation,Excited about the new renovations at Main. It's going to be great for the community!,33.805367,-84.389995,Positive,0.9999997615814208,Other Areas
Local Event,Excited about the new renovations at Broadway. It's going to be great for the community!,33.702486,-84.332944,Positive,0.9999996423721312,Other Areas
Street Fair,Watch out for a giant pothole on Maple Street. Be careful driving!,33.795335,-84.359344,Neutral,0.9965986609458924,Other Areas
Pothole Alert,Don't miss the Maple happening this weekend at North. Always a good time!,33.65581,-84.443976,Positive,0.9463209509849548,Other Areas
Local Event,Don't miss the River happening this weekend at Peachtree. Always a good time!,33.696453,-84.388994,Positive,0.9528029561042786,Other Areas
New Restaurant Opening,Excited about the new renovations at North. It's going to be great for the community!,33.835676,-84.465861,Positive,0.9999997615814208,Other Areas
Local Event,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.649661,-84.38462,Neutral,0.9937437176704408,Other Areas
Park Renovation,"Avoid River during rush hour, construction is causing major delays.",33.672344,-84.403063,Negative,0.9958399534225464,Other Areas
Community Meeting,Community meeting at River this Thursday to discuss the new North development.,33.728753,-84.396461,Neutral,0.9999994039535522,Other Areas
Street Fair,"Avoid Highland during rush hour, construction is causing major delays.",33.732047,-84.471279,Negative,0.9993498921394348,Other Areas
Community Meeting,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.864337,-84.482076,Neutral,0.997808278,Other Areas
Local Event,"Avoid Peachtree during rush hour, construction is causing major delays.",33.652416,-84.369235,Negative,0.9967148303985596,Other Areas
Park Renovation,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.757812,-84.420501,Neutral,0.9999616146087646,Other Areas
Infrastructure Work,The annual street fair at River is this Saturday. Great food and local crafts!,33.726928,-84.412789,Neutral,0.9999666213989258,Other Areas
Traffic Update,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.850404,-84.383899,Neutral,0.9998717308044434,Other Areas
Local Event,Excited about the new renovations at Highland. It's going to be great for the community!,33.716809,-84.388251,Positive,0.9999997615814208,Other Areas
Traffic Update,Public transport update: 5th line will have altered schedules this week.,33.794127,-84.302802,Neutral,0.9999994039535522,Other Areas
