subject,post,latitude,longitude
Infrastructure Work,"Avoid Main during rush hour, construction is causing major delays.",33.804575,-84.507344
Traffic Update,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.657633,-84.404109
Street Fair,Heard about a new Elm opening on Highland. Definitely worth checking out!,33.815418,-84.412956
Park Renovation,Don't miss the Peachtree happening this weekend at Maple. Always a good time!,33.833303,-84.498663
Street Fair,Don't miss the Broadway happening this weekend at Maple. Always a good time!,33.821015,-84.416252
Park Renovation,Excited about the new renovations at Highland. It's going to be great for the community!,33.865128,-84.455923
Community Meeting,Heard about a new Broadway opening on Main. Definitely worth checking out!,33.805413,-84.37473
Local Event,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.764675,-84.406327
Infrastructure Work,Watch out for a giant pothole on Main Street. Be careful driving!,33.691166,-84.348016
New Restaurant Opening,Don't miss the Broadway happening this weekend at Maple. Always a good time!,33.826732,-84.435643
Park Renovation,Public transport update: Elm line will have altered schedules this week.,33.715433,-84.399811
Public Transport Notice,Community meeting at Main this Thursday to discuss the new Maple development.,33.836137,-84.379081
Local Event,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.792157,-84.465269
Local Event,Excited about the new renovations at Maple. It's going to be great for the community!,33.842223,-84.359031
Traffic Update,Heard about a new River opening on North. Definitely worth checking out!,33.825008,-84.388445
Traffic Update,Don't miss the Peachtree happening this weekend at Broadway. Always a good time!,33.717435,-84.488374
Park Renovation,Excited about the new renovations at Main. It's going to be great for the community!,33.805367,-84.389995
Local Event,Excited about the new renovations at Broadway. It's going to be great for the community!,33.702486,-84.332944
Street Fair,Watch out for a giant pothole on Maple Street. Be careful driving!,33.795335,-84.359344
Pothole Alert,Don't miss the Maple happening this weekend at North. Always a good time!,33.65581,-84.443976
Local Event,Don't miss the River happening this weekend at Peachtree. Always a good time!,33.696453,-84.388994
New Restaurant Opening,Excited about the new renovations at North. It's going to be great for the community!,33.835676,-84.465861
Pothole Alert,Heard about a new Highland opening on River. Definitely worth checking out!,33.883569,-84.316046
Park Renovation,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.857344,-84.524018
Local Event,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.649661,-84.38462
Park Renovation,"Avoid River during rush hour, construction is causing major delays.",33.672344,-84.403063
Street Fair,Don't miss the River happening this weekend at 5th. Always a good time!,33.866308,-84.330939
Community Meeting,Community meeting at River this Thursday to discuss the new North development.,33.728753,-84.396461
Street Fair,"Avoid Highland during rush hour, construction is causing major delays.",33.732047,-84.471279
Community Meeting,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.864337,-84.482076
Park Renovation,Public transport update: Maple line will have altered schedules this week.,33.680817,-84.306615
Local Event,"Avoid Peachtree during rush hour, construction is causing major delays.",33.652416,-84.369235
Public Transport Notice,Heard about a new Maple opening on Peachtree. Definitely worth checking out!,33.850121,-84.52493
Park Renovation,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.757812,-84.420501
Infrastructure Work,The annual street fair at River is this Saturday. Great food and local crafts!,33.726928,-84.412789
Traffic Update,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.850404,-84.383899
Local Event,Excited about the new renovations at Highland. It's going to be great for the community!,33.716809,-84.388251
Traffic Update,Public transport update: 5th line will have altered schedules this week.,33.794127,-84.302802
Street Fair,Public transport update: Highland line will have altered schedules this week.,33.648893,-84.482737
Public Transport Notice,Watch out for a giant pothole on North Street. Be careful driving!,33.839641,-84.423099
Park Renovation,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.688881,-84.528978
Traffic Update,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.755884,-84.319919
Pothole Alert,Excited about the new renovations at Main. It's going to be great for the community!,33.778443,-84.52542
Local Event,Watch out for a giant pothole on River Street. Be careful driving!,33.856109,-84.540227
Traffic Update,Watch out for a giant pothole on Elm Street. Be careful driving!,33.754916,-84.33234
Street Fair,Community meeting at Highland this Thursday to discuss the new Broadway development.,33.786645,-84.489134
Infrastructure Work,"Heads up, North is undergoing some major infrastructure work for the next month.",33.787569,-84.328864
New Restaurant Opening,Heard about a new Main opening on Main. Definitely worth checking out!,33.733571,-84.357876
Traffic Update,Watch out for a giant pothole on Elm Street. Be careful driving!,33.806775,-84.459244
New Restaurant Opening,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.756123,-84.320037
New Restaurant Opening,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.826169,-84.488928
Public Transport Notice,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.803139,-84.346072
Community Meeting,Excited about the new renovations at Elm. It's going to be great for the community!,33.7337,-84.487283
Infrastructure Work,Public transport update: 5th line will have altered schedules this week.,33.83837,-84.470809
Local Event,Don't miss the Maple happening this weekend at Broadway. Always a good time!,33.681125,-84.313857
Pothole Alert,Public transport update: Broadway line will have altered schedules this week.,33.650219,-84.406998
Street Fair,"Avoid North during rush hour, construction is causing major delays.",33.657986,-84.294009
Infrastructure Work,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.788868,-84.425527
Infrastructure Work,"Avoid Maple during rush hour, construction is causing major delays.",33.792324,-84.340105
Community Meeting,"Avoid Elm during rush hour, construction is causing major delays.",33.780501,-84.357211
Public Transport Notice,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.796526,-84.407271
Local Event,Public transport update: River line will have altered schedules this week.,33.869377,-84.544818
